Date,FTSE 100,FTSE 250,FTSE 350,FTSE SmallCap,FTSE AllShare,FTSE Fledgling,FTSE AllSmall,FTSE AIM UK 50 Index,FTSE AIM 100 INDEX,FTSE AIM All-Share,Close/Last,Open_NASDAQ,High_NASDAQ,Low_NASDAQ,Index Name,Open_NIFTY,High_NIFTY,Low_NIFTY,Close_x,Start,End,Open,High,Low,Close_y,Volume,Market Cap
2015-07-21,6769.07182344,17755.88907174,3748.27082649,4734.27377136,3687.93582886,8030.29965578,3284.94606968,4100.60484038,3433.35610849,758.21165102,4674.41,4679.54,4686.36,4661.76,NIFTY 50,8601.5,8646.75,8517.9,8529.45,2015-07-21,2015-07-22,278.981,280.547,275.419,276.232,22669310.1398601,4012537720.99323
2015-07-22,6667.3442875,17645.64567467,3697.58146113,4722.68943178,3639.51787904,8027.59948598,3277.27670696,4077.85212349,3416.61975385,753.40134509,4623.24,4604.97,4643.83,4604.53,NIFTY 50,8512.25,8643.9,8498.65,8633.5,2015-07-22,2015-07-23,275.833,277.666,274.381,277.259,21250909.4076655,3977694516.3993
2015-07-23,6655.00543524,17619.09769138,3690.9584145,4728.56752032,3633.39683336,8027.53246053,3281.13701638,4100.61933029,3431.02271572,756.28040402,4602.83,4627.56,4641.58,4592.49,NIFTY 50,8643.95,8654.75,8573.8,8589.8,2015-07-23,2015-07-24,277.222,278.111,275.716,276.06,18202552.4475524,3991791205.50096
2015-07-24,6579.80958554,17499.10752851,3652.10120793,4706.14749063,3595.90573824,8018.57942816,3266.2123588,4086.89320976,3431.70674321,754.92471627,4557.37,4630.95,4632.06,4552.4,NIFTY 50,8588.15,8589.15,8513.5,8521.55,2015-07-24,2015-07-25,276.049,289.253,275.254,288.404,26650097.5694444,4071289664.68349
2015-07-27,6505.12520864,17267.55992973,3609.46257393,4671.20997426,3554.47902074,7982.65371405,3242.47751839,4019.55272423,3392.3772684,747.76911225,4519.09,4530.37,4551.99,4511.92,NIFTY 50,8492.1,8492.2,8351.55,8361,2015-07-27,2015-07-28,292.686,297.774,287.45,293.647,20556323.6111111,4200723770.97655
2015-07-28,6555.27975036,17387.88826024,3636.83054654,4656.45399148,3580.0361749,7984.71327489,3232.82749219,4057.87293304,3406.60642945,749.16219708,4560.23,4539.47,4568.79,4506.19,NIFTY 50,8371.1,8397.4,8321.75,8337,2015-07-28,2015-07-29,293.624,296.649,293.423,294.411,31264447.9166667,4254411873.59732
2015-07-29,6630.99601846,17512.80935968,3676.10430596,4697.74682132,3618.44640251,7978.88693026,3259.83324536,4055.2557663,3407.04220549,749.15590594,4581.6,4570.5,4586.78,4552.76,NIFTY 50,8365.6,8381.5,8338.45,8375.05,2015-07-29,2015-07-30,294.427,294.536,288.777,289.591,24167306.6202091,4203881604.67447
2015-07-30,6668.87103556,17520.99519297,3693.79491501,4699.53232455,3635.27802363,7978.99486519,3261.00900859,4055.91436976,3407.80994678,750.16904242,4598.59,4570.77,4606.65,4540.98,NIFTY 50,8417,8458.9,8408.3,8421.8,2015-07-30,2015-07-31,289.59,290.126,286.568,287.861,23203070.4861111,4152637851.86719
2015-07-31,6696.27839486,17677.39901089,3712.01397223,4707.72257312,3652.78982,8000.09646008,3266.84815236,4066.12946405,3415.27820264,751.16218518,4588.91,4616.48,4616.48,4584.22,NIFTY 50,8456.1,8548.95,8448,8532.85,2015-07-31,2015-08-01,287.722,288.959,282.344,284.501,22897120.1388889,4116606531.04934
2015-08-03,6688.62384903,17670.11221191,3708.23591595,4705.53058084,3649.14464183,7994.46384914,3265.2857195,4064.91923964,3417.82989204,751.60892632,4580.46,4595.26,4607.52,4549.6,NIFTY 50,8510.65,8563.95,8508.1,8543.05,2015-08-03,2015-08-04,282.614,285.471,280.233,281.63,18557775.3472222,4092340210.83314
2015-08-04,6686.56774334,17734.42589131,3709.60700453,4716.35768934,3650.74767764,7977.84786774,3272.04030033,4073.3455431,3441.75205367,755.08972664,4567.47,4573.25,4584.45,4551.9,NIFTY 50,8564.1,8565.15,8448.25,8516.9,2015-08-04,2015-08-05,281.227,285.715,281.225,285.295,22038987.7622378,4108341052.96947
2015-08-05,6752.40887681,17775.07590772,3741.30516762,4730.2932242,3681.20598442,7963.19935318,3280.88092304,4089.50426782,3448.32182497,756.13920879,4602.24,4592.81,4634.7,4590.19,NIFTY 50,8547.45,8591.85,8545.85,8567.95,2015-08-05,2015-08-06,285.218,285.501,281.488,281.866,20323244.5993031,4087691565.83274
2015-08-06,6747.08765699,17745.84418113,3737.80805253,4725.92315822,3677.76648495,7969.63653553,3278.14849186,4030.49712646,3418.24708354,752.55802844,4528.51,4608.69,4612.62,4508.3,NIFTY 50,8585.8,8606.3,8551.5,8588.65,2015-08-06,2015-08-07,281.882,281.906,278.403,278.663,19880028.8194444,4046917674.95958
2015-08-07,6718.48844291,17655.82616031,3721.43099878,4722.57549591,3662.13766875,7967.83063093,3275.90943394,4014.90839434,3417.42844772,753.16786656,4520.08,4519.36,4532.46,4485.5,NIFTY 50,8580.8,8595.95,8552.7,8564.6,2015-08-07,2015-08-08,278.577,280.392,276.366,279.406,27972026.0416667,4036428105.38756
2015-08-10,6736.21674725,17760.87530198,3733.35819468,4735.24139184,3673.80579512,7957.46728291,3284.00893238,4030.38241003,3422.93654374,753.52144492,4573.11,4558.68,4583.63,4554.63,NIFTY 50,8577,8621.55,8497.8,8525.6,2015-08-10,2015-08-11,265.083,267.032,262.596,264.404,21354320.1388889,3840443862.60672
2015-08-11,6664.53507698,17666.95892728,3697.05921913,4719.85994831,3638.94267651,7936.50468974,3273.44720058,4032.66257678,3423.62968042,754.25529137,4513.99,4548.75,4567.69,4491.06,NIFTY 50,8548.45,8556.25,8441.3,8462.35,2015-08-11,2015-08-12,264.47,270.288,264.094,270.288,22344800.3508772,3846556007.72957
2015-08-12,6571.19304925,17438.08661413,3645.94853594,4679.88489222,3589.34182561,7921.68797959,3246.84695736,3997.93989325,3392.49089501,748.61757849,4528.19,4475.91,4539.18,4436.54,NIFTY 50,8445.7,8446.95,8337.95,8349.45,2015-08-12,2015-08-13,270.386,270.673,265.469,266.358,26951342.5087108,3886604711.69951
2015-08-13,6568.329543,17595.46712845,3650.28768495,4695.74065952,3593.89833649,7917.47852851,3257.17576788,4026.33172992,3409.38423067,750.76913955,4519.32,4536.96,4556.14,4514.45,NIFTY 50,8384.45,8429.5,8339.75,8355.85,2015-08-13,2015-08-14,266.376,266.376,262.841,263.978,26108215.9722222,3830153869.90341
2015-08-14,6550.73576402,17620.92831933,3643.11843461,4698.42994886,3587.16956948,7934.84694412,3259.31883861,4013.89854986,3404.41547482,749.86635804,4530.74,4512.88,4536.2,4503.83,NIFTY 50,8402.35,8530.1,8381.2,8518.55,2015-08-14,2015-08-15,264.08,267.466,261.478,265.781,28338463.5416667,3844308927.6876
2015-08-17,6550.3037371,17608.88855533,3642.48741032,4701.76352148,3586.66177958,7925.42183165,3261.30207341,4036.81321063,3414.45446076,750.82641773,4566.37,4516.88,4568.59,4507.98,NIFTY 50,8530.5,8530.6,8428.05,8477.3,2015-08-17,2015-08-18,258.507,260.505,257.117,257.953,24518308.3333333,3749087429.45396
